the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng
0101000020E61000006FFDCB2004CF52C09A085DBAB0FC4340,3306233,0101000020110F000058D13E17CAF25FC1CDE647643A8C5241,16329336,19,2,2024-10-21 20:13:00+00,5/4/24,16:21:00,16,2.02E+11,1400 BLOCK N 57TH ST,1100,Fraud,-75.23462696,39.97414331,39.97414331,-75.23462696
0101000020E6100000462AA5CAA4C852C027F864CD61FE4340,3306234,0101000020110F00009DFEFE19F7E75FC1707805661A8E5241,16330629,26,1,2024-10-21 20:19:00+00,5/11/24,8:12:00,8,2.02E+11,2400 BLOCK PALETHORP ST,700,Motor Vehicle Theft,-75.13505808,39.98735969,39.98735969,-75.13505808
0101000020E61000005CCB854687C752C0FF8C1C331A044440,3306235,0101000020110F00003DB8AB1F12E65FC18D9A7C2E72945241,16361734,35,2,2024-10-21 20:20:00+00,5/1/24,12:42:00,12,2.02E+11,5400 BLOCK RISING SUN AV,600,Thefts,-75.11763156,40.03204955,40.03204955,-75.11763156
0101000020E61000005CCB854687C752C0FF8C1C331A044440,3306236,0101000020110F00003DB8AB1F12E65FC18D9A7C2E72945241,16361756,35,2,2024-10-21 20:21:00+00,5/16/24,15:29:00,15,2.02E+11,5400 BLOCK RISING SUN AV,600,Thefts,-75.11763156,40.03204955,40.03204955,-75.11763156
0101000020E6100000AB406F22A1C352C026B20741E4074440,3306237,0101000020110F0000AD504BAE72DF5FC1AF1B2D67A6985241,16362178,2,3,2024-10-21 20:23:00+00,5/18/24,13:06:00,13,2.02E+11,7900 BLOCK CASTOR AV,600,Thefts,-75.05670987,40.06165326,40.06165326,-75.05670987
0101000020E6100000AEAB34EFD9C852C0003C1E0A51014440,3306238,0101000020110F00008C11B65E51E85FC122A898445B915241,16328045,25,1,2024-10-21 20:28:00+00,5/15/24,19:10:00,19,2.02E+11,3800 BLOCK N 6TH ST,2600,All Other Offenses,-75.13830166,40.01028563,40.01028563,-75.13830166
0101000020E61000000B6F206E58CB52C0C92FEECC25F74340,3306239,0101000020110F000054B957EB8DEC5FC18F77265816865241,16328499,17,3,2024-10-21 20:28:00+00,5/16/24,18:32:00,18,2.02E+11,1900 BLOCK MOUNTAIN ST,2600,All Other Offenses,-75.17727235,39.93084108,39.93084108,-75.17727235
0101000020E6100000B7DD9943F1CA52C04860DEA9A1FD4340,3306240,0101000020110F0000D43D68AEDEEB5FC1AF95166D458D5241,16329784,22,4,2024-10-21 20:29:00+00,5/8/24,20:29:00,20,2.02E+11,1700 BLOCK N 22nd St,800,Other Assaults,-75.17097559,39.98149608,39.98149608,-75.17097559
0101000020E610000069837E6C33C852C0352816CF0B054440,3306241,0101000020110F000064C1F38836E75FC1094CA1307E955241,16330210,35,1,2024-10-21 20:30:00+00,5/16/24,8:42:00,8,2.02E+11,5800 BLOCK N 4TH ST,700,Motor Vehicle Theft,-75.12813866,40.03942288,40.03942288,-75.12813866
0101000020E6100000818A360956CB52C0BEA982303B084440,3306242,0101000020110F0000A2463FDA89EC5FC1F62E3DE006995241,16331971,14,1,2024-10-21 20:39:00+00,5/8/24,7:54:00,7,2.02E+11,6800 BLOCK CRITTENDEN ST,700,Motor Vehicle Theft,-75.17712622,40.06430632,40.06430632,-75.17712622
0101000020E610000008C23ECF19CA52C0B4CF006A2CFE4340,3306243,0101000020110F00000252C9B570EA5FC1364E3438DF8D5241,16361316,22,1,2024-10-21 20:43:00+00,5/17/24,9:23:00,9,2.02E+11,2100 BLOCK N 15TH ST,600,Thefts,-75.15782529,39.98573041,39.98573041,-75.15782529
0101000020E610000058F0B291B1CC52C0FEA115EFB2084440,3306244,0101000020110F0000E55C2C2CD8EE5FC11BEE68C38B995241,16361784,14,4,2024-10-21 20:43:00+00,5/20/24,19:13:00,19,2.02E+11,7700 BLOCK GERMANTOWN AV,600,Thefts,-75.19833796,40.06796063,40.06796063,-75.19833796
0101000020E6100000A6D6B97124CB52C09C653F208AFD4340,3306245,0101000020110F0000234DAF9D35EC5FC1C92A6E562B8D5241,16361786,22,4,2024-10-21 20:45:00+00,4/27/24,6:18:00,6,2.02E+11,N 24TH ST  & CECIL B MOORE AV,600,Theft from Vehicle,-75.17409938,39.98077777,39.98077777,-75.17409938
0101000020E6100000A91F489C1DC652C0CBDBAE2350FF4340,3306246,0101000020110F0000A7B09FCCABE35FC1DBF8989A228F5241,16363558,24,1,2024-10-21 20:47:00+00,5/16/24,19:53:00,19,2.02E+11,3600 BLOCK ARAMINGO AV,600,Thefts,-75.09555728,39.99463316,39.99463316,-75.09555728
0101000020E6100000D98F98C905CE52C015346FCD04F74340,3306247,0101000020110F00003B9151111AF15FC1EE4118CCF1855241,16328087,12,3,2024-10-21 20:48:00+00,5/16/24,17:13:00,17,2.02E+11,2500 BLOCK S 57TH ST,800,Other Assaults,-75.21910324,39.92983406,39.92983406,-75.21910324
0101000020E6100000D4D81CEFA7CB52C0EC15B3B1D4FC4340,3306248,0101000020110F0000C4FDEFF614ED5FC161E58340628C5241,16328525,22,4,2024-10-21 20:50:00+00,5/12/24,0:41:00,0,2.02E+11,2800 BLOCK W STILES ST,2600,All Other Offenses,-75.18212488,39.97524091,39.97524091,-75.18212488
0101000020E61000001A719E3D19CB52C06AE1CBA73BF94340,3306249,0101000020110F00005398EA9522EC5FC16DF82CB165885241,16328941,9,3,2024-10-21 20:53:00+00,5/18/24,1:15:00,1,2.02E+11,1900 BLOCK PANAMA ST,1400,Vandalism/Criminal Mischief,-75.17341557,39.94713304,39.94713304,-75.17341557
0101000020E6100000AA57BA5073C352C02305C377EA044440,3306250,0101000020110F0000DD0135DA24DF5FC17A91433459955241,16329803,15,3,2024-10-21 20:53:00+00,5/10/24,16:26:00,16,2.02E+11,3000 BLOCK BRIGHTON ST,1400,Vandalism/Criminal Mischief,-75.05391329,40.03840539,40.03840539,-75.05391329
0101000020E6100000DAB04388ADCA52C023B8F4DC00004440,3306251,0101000020110F00005D92CCA16BEB5FC185B9DB86E68F5241,16329813,39,3,2024-10-21 20:55:00+00,5/12/24,4:41:00,4,2.02E+11,2900 BLOCK N 22ND ST,2600,All Other Offenses,-75.16684157,40.00002634,40.00002634,-75.16684157
0101000020E6100000144FA86DA4CE52C038ED109C86F54340,3306252,0101000020110F0000C7E8FD8827F25FC12F688D894A845241,16332011,12,3,2024-10-21 20:55:00+00,5/3/24,7:16:00,7,2.02E+11,6600 BLOCK GUYER AV,700,Motor Vehicle Theft,-75.22878591,39.91817046,39.91817046,-75.22878591
0101000020E6100000BA582804F8C452C0BCC46017A8004440,3306253,0101000020110F0000A1F69619B9E15FC14378D4EF9F905241,16332014,15,1,2024-10-21 21:02:00+00,5/15/24,15:48:00,15,2.02E+11,2300 BLOCK ORTHODOX ST,700,Motor Vehicle Theft,-75.07763771,40.00512974,40.00512974,-75.07763771
0101000020E6100000EA211ADD01CF52C0737D612AE4FA4340,3306254,0101000020110F00004F54933EC6F25FC172A30F053C8A5241,16362230,18,2,2024-10-21 21:02:00+00,4/29/24,19:52:00,19,2.02E+11,5600 BLOCK CHESTNUT ST,600,Thefts,-75.23448875,39.96008806,39.96008806,-75.23448875
0101000020E61000007D35CD5C9CCD52C0FB2A12767EFA4340,3306255,0101000020110F000058B522FE66F05FC1D0E08F54CB895241,16328114,18,3,2024-10-21 21:03:00+00,5/11/24,17:07:00,17,2.02E+11,4500 BLOCK CHESTNUT ST,2600,All Other Offenses,-75.21266861,39.95698429,39.95698429,-75.21266861
